location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_tested,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,population,population_male,population_female,population_rural,population_urban,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,gdp_usd,gdp_per_capita_usd,openstreetmap_id,latitude,longitude,area_sq_km,area_rural_sq_km,area_urban_sq_km,life_expectancy,diabetes_prevalence,infant_mortality_rate,nurses_per_1000,health_expenditure_usd,out_of_pocket_health_expenditure_usd,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
MH,2020-02-03,ChIJK8opIbIZAWURdrcJqugDPos,Q709,country/MHL,MH,Marshall Islands,MH,MHL,0,0,0,,0,0,,,,,,,,59194,28373,27502,13277,45514,328.856,0.708,12296,11723,8779,9206,5768,3943,2748,1112,301,221278000,3788,571771,9.82,169.29,180,284,0,65.23902,30.5,27.4,3.339,642.199158,79.719673,28.5,26.277778,30.5,0.0,23.388889,73.887495
MH,2020-02-04,ChIJK8opIbIZAWURdrcJqugDPos,Q709,country/MHL,MH,Marshall Islands,MH,MHL,0,0,0,,0,0,,,,,,,,59194,28373,27502,13277,45514,328.856,0.708,12296,11723,8779,9206,5768,3943,2748,1112,301,221278000,3788,571771,9.82,169.29,180,284,0,65.23902,30.5,27.4,3.339,642.199158,79.719673,28.444444,27.111111,30.611111,0.0,24.444444,78.98187
MH,2020-02-05,ChIJK8opIbIZAWURdrcJqugDPos,Q709,country/MHL,MH,Marshall Islands,MH,MHL,0,0,0,,0,0,,,,,,,,59194,28373,27502,13277,45514,328.856,0.708,12296,11723,8779,9206,5768,3943,2748,1112,301,221278000,3788,571771,9.82,169.29,180,284,0,65.23902,30.5,27.4,3.339,642.199158,79.719673,28.277778,27.0,29.722222,1.016,24.611111,80.550385
MH,2020-02-06,ChIJK8opIbIZAWURdrcJqugDPos,Q709,country/MHL,MH,Marshall Islands,MH,MHL,0,0,0,,0,0,,,,,,,,59194,28373,27502,13277,45514,328.856,0.708,12296,11723,8779,9206,5768,3943,2748,1112,301,221278000,3788,571771,9.82,169.29,180,284,0,65.23902,30.5,27.4,3.339,642.199158,79.719673,28.666667,25.138889,30.555556,1.143,24.5,78.267543
MH,2020-02-07,ChIJK8opIbIZAWURdrcJqugDPos,Q709,country/MHL,MH,Marshall Islands,MH,MHL,0,0,0,,0,0,,,,,,,,59194,28373,27502,13277,45514,328.856,0.708,12296,11723,8779,9206,5768,3943,2748,1112,301,221278000,3788,571771,9.82,169.29,180,284,0,65.23902,30.5,27.4,3.339,642.199158,79.719673,28.833333,27.611111,30.611111,0.0,23.777778,74.190475
MH,2020-02-08,ChIJK8opIbIZAWURdrcJqugDPos,Q709,country/MHL,MH,Marshall Islands,MH,MHL,0,0,0,,0,0,,,,,,,,59194,28373,27502,13277,45514,328.856,0.708,12296,11723,8779,9206,5768,3943,2748,1112,301,221278000,3788,571771,9.82,169.29,180,284,0,65.23902,30.5,27.4,3.339,642.199158,79.719673,28.166667,25.861111,30.305556,0.508,23.805556,77.295028
MH,2020-02-09,ChIJK8opIbIZAWURdrcJqugDPos,Q709,country/MHL,MH,Marshall Islands,MH,MHL,0,0,0,,0,0,,,,,,,,59194,28373,27502,13277,45514,328.856,0.708,12296,11723,8779,9206,5768,3943,2748,1112,301,221278000,3788,571771,9.82,169.29,180,284,0,65.23902,30.5,27.4,3.339,642.199158,79.719673,28.722222,27.611111,30.888889,0.0,22.444444,68.885693
MH,2020-02-10,ChIJK8opIbIZAWURdrcJqugDPos,Q709,country/MHL,MH,Marshall Islands,MH,MHL,0,0,0,,0,0,,,,,,,,59194,28373,27502,13277,45514,328.856,0.708,12296,11723,8779,9206,5768,3943,2748,1112,301,221278000,3788,571771,9.82,169.29,180,284,0,65.23902,30.5,27.4,3.339,642.199158,79.719673,28.944444,28.0,30.722222,0.0,23.944444,74.456959
MH,2020-02-11,ChIJK8opIbIZAWURdrcJqugDPos,Q709,country/MHL,MH,Marshall Islands,MH,MHL,0,0,0,,0,0,,,,,,,,59194,28373,27502,13277,45514,328.856,0.708,12296,11723,8779,9206,5768,3943,2748,1112,301,221278000,3788,571771,9.82,169.29,180,284,0,65.23902,30.5,27.4,3.339,642.199158,79.719673,28.833333,27.722222,31.0,0.0,23.722222,73.942837
MH,2020-02-12,ChIJK8opIbIZAWURdrcJqugDPos,Q709,country/MHL,MH,Marshall Islands,MH,MHL,0,0,0,,0,0,,,,,,,,59194,28373,27502,13277,45514,328.856,0.708,12296,11723,8779,9206,5768,3943,2748,1112,301,221278000,3788,571771,9.82,169.29,180,284,0,65.23902,30.5,27.4,3.339,642.199158,79.719673,27.555556,24.888889,30.611111,0.254,24.388889,82.907243
MH,2020-02-13,ChIJK8opIbIZAWURdrcJqugDPos,Q709,country/MHL,MH,Marshall Islands,MH,MHL,0,0,0,,0,0,,,,,,,,59194,28373,27502,13277,45514,328.856,0.708,12296,11723,8779,9206,5768,3943,2748,1112,301,221278000,3788,571771,9.82,169.29,180,284,0,65.23902,30.5,27.4,3.339,642.199158,79.719673,27.972222,24.944444,29.888889,3.175,24.611111,82.005678
MH,2020-02-14,ChIJK8opIbIZAWURdrcJqugDPos,Q709,country/MHL,MH,Marshall Islands,MH,MHL,0,0,0,,0,0,,,,,,,,59194,28373,27502,13277,45514,328.856,0.708,12296,11723,8779,9206,5768,3943,2748,1112,301,221278000,3788,571771,9.82,169.29,180,284,0,65.23902,30.5,27.4,3.339,642.199158,79.719673,28.388889,27.5,30.388889,1.778,23.611111,75.36931
MH,2020-02-15,ChIJK8opIbIZAWURdrcJqugDPos,Q709,country/MHL,MH,Marshall Islands,MH,MHL,0,0,0,,0,0,,,,,,,,59194,28373,27502,13277,45514,328.856,0.708,12296,11723,8779,9206,5768,3943,2748,1112,301,221278000,3788,571771,9.82,169.29,180,284,0,65.23902,30.5,27.4,3.339,642.199158,79.719673,28.333333,27.277778,30.277778,0.0,23.611111,75.613208
MH,2020-02-16,ChIJK8opIbIZAWURdrcJqugDPos,Q709,country/MHL,MH,Marshall Islands,MH,MHL,0,0,0,,0,0,,,,,,,,59194,28373,27502,13277,45514,328.856,0.708,12296,11723,8779,9206,5768,3943,2748,1112,301,221278000,3788,571771,9.82,169.29,180,284,0,65.23902,30.5,27.4,3.339,642.199158,79.719673,28.055556,25.777778,31.0,0.0,23.777778,77.621109
MH,2020-02-17,ChIJK8opIbIZAWURdrcJqugDPos,Q709,country/MHL,MH,Marshall Islands,MH,MHL,0,0,0,,0,0,,,,,,,,59194,28373,27502,13277,45514,328.856,0.708,12296,11723,8779,9206,5768,3943,2748,1112,301,221278000,3788,571771,9.82,169.29,180,284,0,65.23902,30.5,27.4,3.339,642.199158,79.719673,28.611111,27.611111,30.277778,10.668,23.111111,72.190692
MH,2020-02-18,ChIJK8opIbIZAWURdrcJqugDPos,Q709,country/MHL,MH,Marshall Islands,MH,MHL,0,0,0,,0,0,,,,,,,,59194,28373,27502,13277,45514,328.856,0.708,12296,11723,8779,9206,5768,3943,2748,1112,301,221278000,3788,571771,9.82,169.29,180,284,0,65.23902,30.5,27.4,3.339,642.199158,79.719673,27.833333,24.916667,29.75,0.254,24.416667,81.716957
