location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,population,population_male,population_female,population_rural,population_urban,population_density,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,gdp_usd,gdp_per_capita_usd,openstreetmap_id,latitude,longitude,area_sq_km,area_rural_sq_km,area_urban_sq_km,life_expectancy,diabetes_prevalence,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
GL,2020-02-05,ChIJFXfA47sNok4RGOIUAYOdzzQ,Q223,country/GRL,GL,Greenland,GL,GRL,0,0,0,0,0,,,,,,,56772,25310,24138,7280,48945,0.138,6847,6865,7738,6648,4838,8106,5267,2337,803,3051626389,54470,2184073,72.0,-40.0,410450,242639,33,70.84878,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-43.722222,-52.222222,-39.277778,0.0,-45.5,82.414241
GL,2020-02-06,ChIJFXfA47sNok4RGOIUAYOdzzQ,Q223,country/GRL,GL,Greenland,GL,GRL,0,0,0,0,0,,,,,,,56772,25310,24138,7280,48945,0.138,6847,6865,7738,6648,4838,8106,5267,2337,803,3051626389,54470,2184073,72.0,-40.0,410450,242639,33,70.84878,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-35.333333,-39.777778,-32.611111,0.0,-37.111111,83.690927
GL,2020-02-07,ChIJFXfA47sNok4RGOIUAYOdzzQ,Q223,country/GRL,GL,Greenland,GL,GRL,0,0,0,0,0,,,,,,,56772,25310,24138,7280,48945,0.138,6847,6865,7738,6648,4838,8106,5267,2337,803,3051626389,54470,2184073,72.0,-40.0,410450,242639,33,70.84878,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-37.055556,-42.388889,-32.888889,0.0,-38.777778,83.917416
GL,2020-02-08,ChIJFXfA47sNok4RGOIUAYOdzzQ,Q223,country/GRL,GL,Greenland,GL,GRL,0,0,0,0,0,,,,,,,56772,25310,24138,7280,48945,0.138,6847,6865,7738,6648,4838,8106,5267,2337,803,3051626389,54470,2184073,72.0,-40.0,410450,242639,33,70.84878,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-33.944444,-41.0,-31.5,0.0,-35.666667,84.354938
GL,2020-02-09,ChIJFXfA47sNok4RGOIUAYOdzzQ,Q223,country/GRL,GL,Greenland,GL,GRL,0,0,0,0,0,,,,,,,56772,25310,24138,7280,48945,0.138,6847,6865,7738,6648,4838,8106,5267,2337,803,3051626389,54470,2184073,72.0,-40.0,410450,242639,33,70.84878,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-34.944444,-36.722222,-32.611111,0.0,-36.777778,83.279808
GL,2020-02-10,ChIJFXfA47sNok4RGOIUAYOdzzQ,Q223,country/GRL,GL,Greenland,GL,GRL,0,0,0,0,0,,,,,,,56772,25310,24138,7280,48945,0.138,6847,6865,7738,6648,4838,8106,5267,2337,803,3051626389,54470,2184073,72.0,-40.0,410450,242639,33,70.84878,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-35.833333,-38.277778,-33.277778,0.0,-37.555556,84.091389
GL,2020-02-11,ChIJFXfA47sNok4RGOIUAYOdzzQ,Q223,country/GRL,GL,Greenland,GL,GRL,0,0,0,0,0,,,,,,,56772,25310,24138,7280,48945,0.138,6847,6865,7738,6648,4838,8106,5267,2337,803,3051626389,54470,2184073,72.0,-40.0,410450,242639,33,70.84878,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-42.277778,-44.5,-37.777778,0.0,-44.055556,82.644122
GL,2020-02-12,ChIJFXfA47sNok4RGOIUAYOdzzQ,Q223,country/GRL,GL,Greenland,GL,GRL,0,0,0,0,0,,,,,,,56772,25310,24138,7280,48945,0.138,6847,6865,7738,6648,4838,8106,5267,2337,803,3051626389,54470,2184073,72.0,-40.0,410450,242639,33,70.84878,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-45.222222,-47.388889,-42.611111,0.0,-46.888889,83.194225
GL,2020-02-13,ChIJFXfA47sNok4RGOIUAYOdzzQ,Q223,country/GRL,GL,Greenland,GL,GRL,0,0,0,0,0,,,,,,,56772,25310,24138,7280,48945,0.138,6847,6865,7738,6648,4838,8106,5267,2337,803,3051626389,54470,2184073,72.0,-40.0,410450,242639,33,70.84878,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-46.833333,-50.5,-45.222222,0.0,-48.555556,82.42106
GL,2020-02-14,ChIJFXfA47sNok4RGOIUAYOdzzQ,Q223,country/GRL,GL,Greenland,GL,GRL,0,0,0,0,0,,,,,,,56772,25310,24138,7280,48945,0.138,6847,6865,7738,6648,4838,8106,5267,2337,803,3051626389,54470,2184073,72.0,-40.0,410450,242639,33,70.84878,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-49.222222,-52.777778,-44.222222,0.0,-50.944444,82.025015
