location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_tested,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,population,population_male,population_female,population_rural,population_urban,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,gdp_usd,gdp_per_capita_usd,openstreetmap_id,latitude,longitude,elevation_m,area_sq_km,area_rural_sq_km,area_urban_sq_km,life_expectancy,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,nurses_per_1000,physicians_per_1000,health_expenditure_usd,out_of_pocket_health_expenditure_usd,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
LC,2020-02-02,ChIJHaMt8WVgQIwR9Z056MSGdG4,Q760,country/LCA,LC,Saint Lucia,LC,LCA,0,0,0,,0,0,,,,,,,,183629,90422,93207,148510,34280,301.031,0.747,21812,24335,32816,28447,25517,23375,14555,8357,4415,2122450629,11611,550728,13.883333,-60.966667,330,620,263,351,76.057,11.6,14.9,174.722,97.187,30.0,18.8,3.1547,0.6409,460.068817,205.89505,27.097222,23.305556,30.229167,0.03175,21.666667,72.310912
LC,2020-02-03,ChIJHaMt8WVgQIwR9Z056MSGdG4,Q760,country/LCA,LC,Saint Lucia,LC,LCA,0,0,0,,0,0,,,,,,,,183629,90422,93207,148510,34280,301.031,0.747,21812,24335,32816,28447,25517,23375,14555,8357,4415,2122450629,11611,550728,13.883333,-60.966667,330,620,263,351,76.057,11.6,14.9,174.722,97.187,30.0,18.8,3.1547,0.6409,460.068817,205.89505,26.493056,22.548611,30.090278,0.127,21.645833,74.817607
LC,2020-02-04,ChIJHaMt8WVgQIwR9Z056MSGdG4,Q760,country/LCA,LC,Saint Lucia,LC,LCA,0,0,0,,0,0,,,,,,,,183629,90422,93207,148510,34280,301.031,0.747,21812,24335,32816,28447,25517,23375,14555,8357,4415,2122450629,11611,550728,13.883333,-60.966667,330,620,263,351,76.057,11.6,14.9,174.722,97.187,30.0,18.8,3.1547,0.6409,460.068817,205.89505,26.381944,22.340278,29.881944,0.0,20.395833,69.795513
LC,2020-02-05,ChIJHaMt8WVgQIwR9Z056MSGdG4,Q760,country/LCA,LC,Saint Lucia,LC,LCA,0,0,0,,0,0,,,,,,,,183629,90422,93207,148510,34280,301.031,0.747,21812,24335,32816,28447,25517,23375,14555,8357,4415,2122450629,11611,550728,13.883333,-60.966667,330,620,263,351,76.057,11.6,14.9,174.722,97.187,30.0,18.8,3.1547,0.6409,460.068817,205.89505,26.909722,23.291667,30.076389,0.381,20.805556,69.407915
LC,2020-02-06,ChIJHaMt8WVgQIwR9Z056MSGdG4,Q760,country/LCA,LC,Saint Lucia,LC,LCA,0,0,0,,0,0,,,,,,,,183629,90422,93207,148510,34280,301.031,0.747,21812,24335,32816,28447,25517,23375,14555,8357,4415,2122450629,11611,550728,13.883333,-60.966667,330,620,263,351,76.057,11.6,14.9,174.722,97.187,30.0,18.8,3.1547,0.6409,460.068817,205.89505,27.041667,23.895833,30.0,0.5715,21.3125,70.943947
LC,2020-02-07,ChIJHaMt8WVgQIwR9Z056MSGdG4,Q760,country/LCA,LC,Saint Lucia,LC,LCA,0,0,0,,0,0,,,,,,,,183629,90422,93207,148510,34280,301.031,0.747,21812,24335,32816,28447,25517,23375,14555,8357,4415,2122450629,11611,550728,13.883333,-60.966667,330,620,263,351,76.057,11.6,14.9,174.722,97.187,30.0,18.8,3.1547,0.6409,460.068817,205.89505,26.576389,23.25,30.006944,3.664857,20.965278,71.423525
LC,2020-02-08,ChIJHaMt8WVgQIwR9Z056MSGdG4,Q760,country/LCA,LC,Saint Lucia,LC,LCA,0,0,0,,0,0,,,,,,,,183629,90422,93207,148510,34280,301.031,0.747,21812,24335,32816,28447,25517,23375,14555,8357,4415,2122450629,11611,550728,13.883333,-60.966667,330,620,263,351,76.057,11.6,14.9,174.722,97.187,30.0,18.8,3.1547,0.6409,460.068817,205.89505,25.493056,22.916667,29.472222,4.09575,21.347222,78.328584
LC,2020-02-09,ChIJHaMt8WVgQIwR9Z056MSGdG4,Q760,country/LCA,LC,Saint Lucia,LC,LCA,0,0,0,,0,0,,,,,,,,183629,90422,93207,148510,34280,301.031,0.747,21812,24335,32816,28447,25517,23375,14555,8357,4415,2122450629,11611,550728,13.883333,-60.966667,330,620,263,351,76.057,11.6,14.9,174.722,97.187,30.0,18.8,3.1547,0.6409,460.068817,205.89505,25.486111,22.685185,29.611111,8.79475,21.809524,77.127589
LC,2020-02-10,ChIJHaMt8WVgQIwR9Z056MSGdG4,Q760,country/LCA,LC,Saint Lucia,LC,LCA,0,0,0,,0,0,,,,,,,,183629,90422,93207,148510,34280,301.031,0.747,21812,24335,32816,28447,25517,23375,14555,8357,4415,2122450629,11611,550728,13.883333,-60.966667,330,620,263,351,76.057,11.6,14.9,174.722,97.187,30.0,18.8,3.1547,0.6409,460.068817,205.89505,26.805556,22.134921,29.951389,1.7145,21.097222,71.018517
LC,2020-02-11,ChIJHaMt8WVgQIwR9Z056MSGdG4,Q760,country/LCA,LC,Saint Lucia,LC,LCA,0,0,0,,0,0,,,,,,,,183629,90422,93207,148510,34280,301.031,0.747,21812,24335,32816,28447,25517,23375,14555,8357,4415,2122450629,11611,550728,13.883333,-60.966667,330,620,263,351,76.057,11.6,14.9,174.722,97.187,30.0,18.8,3.1547,0.6409,460.068817,205.89505,26.708333,23.5,29.791667,0.79375,21.138889,71.636956
LC,2020-02-12,ChIJHaMt8WVgQIwR9Z056MSGdG4,Q760,country/LCA,LC,Saint Lucia,LC,LCA,0,0,0,,0,0,,,,,,,,183629,90422,93207,148510,34280,301.031,0.747,21812,24335,32816,28447,25517,23375,14555,8357,4415,2122450629,11611,550728,13.883333,-60.966667,330,620,263,351,76.057,11.6,14.9,174.722,97.187,30.0,18.8,3.1547,0.6409,460.068817,205.89505,26.694444,23.953704,29.583333,2.612571,21.381944,72.816798
LC,2020-02-13,ChIJHaMt8WVgQIwR9Z056MSGdG4,Q760,country/LCA,LC,Saint Lucia,LC,LCA,0,0,0,,0,0,,,,,,,,183629,90422,93207,148510,34280,301.031,0.747,21812,24335,32816,28447,25517,23375,14555,8357,4415,2122450629,11611,550728,13.883333,-60.966667,330,620,263,351,76.057,11.6,14.9,174.722,97.187,30.0,18.8,3.1547,0.6409,460.068817,205.89505,26.868056,24.152778,29.701389,0.3175,20.618056,68.801652
