location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,population,population_male,population_female,population_rural,population_urban,population_density,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,gdp_usd,gdp_per_capita_usd,human_capital_index,openstreetmap_id,latitude,longitude,area_sq_km,area_rural_sq_km,area_urban_sq_km,diabetes_prevalence,infant_mortality_rate,nurses_per_1000,health_expenditure_usd,out_of_pocket_health_expenditure_usd,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
TV,2020-02-15,ChIJTaCxWbmcwW8RLhIHB2hUZ48,Q672,country/TUV,TV,Tuvalu,TV,TUV,0,0,0,0,0,,,,,,,11792,6057,6178,4284,7362,393.067,2536,2087,2310,1858,971,1178,862,323,111,47271463,4059,0.554,2177266,-7.475,178.005556,30,38,0,22.1,20.6,4.2609,622.176697,3.248882,28.472222,26.25,31.055556,14.986,25.694444,84.95261
TV,2020-02-16,ChIJTaCxWbmcwW8RLhIHB2hUZ48,Q672,country/TUV,TV,Tuvalu,TV,TUV,0,0,0,0,0,,,,,,,11792,6057,6178,4284,7362,393.067,2536,2087,2310,1858,971,1178,862,323,111,47271463,4059,0.554,2177266,-7.475,178.005556,30,38,0,22.1,20.6,4.2609,622.176697,3.248882,27.111111,25.055556,28.694444,44.958,25.361111,90.181016
TV,2020-02-17,ChIJTaCxWbmcwW8RLhIHB2hUZ48,Q672,country/TUV,TV,Tuvalu,TV,TUV,0,0,0,0,0,,,,,,,11792,6057,6178,4284,7362,393.067,2536,2087,2310,1858,971,1178,862,323,111,47271463,4059,0.554,2177266,-7.475,178.005556,30,38,0,22.1,20.6,4.2609,622.176697,3.248882,27.75,24.583333,29.25,79.502,25.083333,85.450604
TV,2020-02-18,ChIJTaCxWbmcwW8RLhIHB2hUZ48,Q672,country/TUV,TV,Tuvalu,TV,TUV,0,0,0,0,0,,,,,,,11792,6057,6178,4284,7362,393.067,2536,2087,2310,1858,971,1178,862,323,111,47271463,4059,0.554,2177266,-7.475,178.005556,30,38,0,22.1,20.6,4.2609,622.176697,3.248882,27.777778,24.666667,30.055556,33.528,25.194444,86.041843
TV,2020-02-19,ChIJTaCxWbmcwW8RLhIHB2hUZ48,Q672,country/TUV,TV,Tuvalu,TV,TUV,0,0,0,0,0,,,,,,,11792,6057,6178,4284,7362,393.067,2536,2087,2310,1858,971,1178,862,323,111,47271463,4059,0.554,2177266,-7.475,178.005556,30,38,0,22.1,20.6,4.2609,622.176697,3.248882,28.555556,24.694444,30.0,83.566,25.138889,81.797322
TV,2020-02-20,ChIJTaCxWbmcwW8RLhIHB2hUZ48,Q672,country/TUV,TV,Tuvalu,TV,TUV,0,0,0,0,0,,,,,,,11792,6057,6178,4284,7362,393.067,2536,2087,2310,1858,971,1178,862,323,111,47271463,4059,0.554,2177266,-7.475,178.005556,30,38,0,22.1,20.6,4.2609,622.176697,3.248882,27.277778,25.0,30.277778,0.0,24.888889,86.823826
TV,2020-02-21,ChIJTaCxWbmcwW8RLhIHB2hUZ48,Q672,country/TUV,TV,Tuvalu,TV,TUV,0,0,0,0,0,,,,,,,11792,6057,6178,4284,7362,393.067,2536,2087,2310,1858,971,1178,862,323,111,47271463,4059,0.554,2177266,-7.475,178.005556,30,38,0,22.1,20.6,4.2609,622.176697,3.248882,27.888889,26.0,30.0,57.404,25.444444,86.593077
TV,2020-02-22,ChIJTaCxWbmcwW8RLhIHB2hUZ48,Q672,country/TUV,TV,Tuvalu,TV,TUV,0,0,0,0,0,,,,,,,11792,6057,6178,4284,7362,393.067,2536,2087,2310,1858,971,1178,862,323,111,47271463,4059,0.554,2177266,-7.475,178.005556,30,38,0,22.1,20.6,4.2609,622.176697,3.248882,28.0,25.5,30.0,0.0,25.611111,86.889429
TV,2020-02-23,ChIJTaCxWbmcwW8RLhIHB2hUZ48,Q672,country/TUV,TV,Tuvalu,TV,TUV,0,0,0,0,0,,,,,,,11792,6057,6178,4284,7362,393.067,2536,2087,2310,1858,971,1178,862,323,111,47271463,4059,0.554,2177266,-7.475,178.005556,30,38,0,22.1,20.6,4.2609,622.176697,3.248882,28.611111,25.111111,31.111111,4.826,25.277778,82.209805
TV,2020-02-24,ChIJTaCxWbmcwW8RLhIHB2hUZ48,Q672,country/TUV,TV,Tuvalu,TV,TUV,0,0,0,0,0,,,,,,,11792,6057,6178,4284,7362,393.067,2536,2087,2310,1858,971,1178,862,323,111,47271463,4059,0.554,2177266,-7.475,178.005556,30,38,0,22.1,20.6,4.2609,622.176697,3.248882,28.666667,25.888889,31.222222,4.826,25.722222,84.137347
