location_key,date,wikidata_id,datacommons_id,country_code,country_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_tested,population,population_male,population_female,population_rural,population_urban,population_density,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,gdp_usd,gdp_per_capita_usd,openstreetmap_id,latitude,longitude,area_sq_km,area_rural_sq_km,area_urban_sq_km,life_expectancy,diabetes_prevalence,adult_male_mortality_rate,adult_female_mortality_rate,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
VI,2020-02-02,Q11703,country/VIR,VI,United States Virgin Islands,VI,VIR,0,0,0,,0,0,,104423,49601,54822,4444,102187,298.351,12868,14018,12731,9731,11766,14449,14021,10901,3938,3855000000,35938,286898,18.333333,-64.833333,350,63,302,79.568293,12.3,70.177,41.141,0,0,0,0,0,0,0,0,0,0,,,0,1,2,,0,0,0,0.0,26.505556,24.044444,29.094444,0.0,21.208333,74.315586
VI,2020-02-03,Q11703,country/VIR,VI,United States Virgin Islands,VI,VIR,0,0,0,,0,0,,104423,49601,54822,4444,102187,298.351,12868,14018,12731,9731,11766,14449,14021,10901,3938,3855000000,35938,286898,18.333333,-64.833333,350,63,302,79.568293,12.3,70.177,41.141,0,0,0,0,0,0,0,0,0,0,,,0,1,2,,0,0,0,0.0,26.066667,23.177778,29.366667,0.0,21.194444,74.538607
VI,2020-02-04,Q11703,country/VIR,VI,United States Virgin Islands,VI,VIR,0,0,0,,0,0,,104423,49601,54822,4444,102187,298.351,12868,14018,12731,9731,11766,14449,14021,10901,3938,3855000000,35938,286898,18.333333,-64.833333,350,63,302,79.568293,12.3,70.177,41.141,0,0,0,0,0,0,0,0,0,0,,,0,1,2,,0,0,0,0.0,26.333333,23.527778,29.288889,0.0,20.736111,70.451995
VI,2020-02-05,Q11703,country/VIR,VI,United States Virgin Islands,VI,VIR,0,0,0,,0,0,,104423,49601,54822,4444,102187,298.351,12868,14018,12731,9731,11766,14449,14021,10901,3938,3855000000,35938,286898,18.333333,-64.833333,350,63,302,79.568293,12.3,70.177,41.141,0,0,0,0,0,0,0,0,0,0,,,0,1,2,,0,0,0,0.0,26.605556,24.161111,29.616667,0.0508,21.458333,73.111307
VI,2020-02-06,Q11703,country/VIR,VI,United States Virgin Islands,VI,VIR,0,0,0,,0,0,,104423,49601,54822,4444,102187,298.351,12868,14018,12731,9731,11766,14449,14021,10901,3938,3855000000,35938,286898,18.333333,-64.833333,350,63,302,79.568293,12.3,70.177,41.141,0,0,0,0,0,0,0,0,0,0,,,0,1,2,,0,0,0,0.0,27.094444,24.961111,29.588889,0.4572,21.5,71.268466
VI,2020-02-07,Q11703,country/VIR,VI,United States Virgin Islands,VI,VIR,0,0,0,,0,0,,104423,49601,54822,4444,102187,298.351,12868,14018,12731,9731,11766,14449,14021,10901,3938,3855000000,35938,286898,18.333333,-64.833333,350,63,302,79.568293,12.3,70.177,41.141,0,0,0,0,0,0,0,0,0,0,,,0,1,2,,0,0,0,0.0,26.9,24.761111,29.094444,0.141111,21.458333,72.316087
VI,2020-02-08,Q11703,country/VIR,VI,United States Virgin Islands,VI,VIR,0,0,0,,0,0,,104423,49601,54822,4444,102187,298.351,12868,14018,12731,9731,11766,14449,14021,10901,3938,3855000000,35938,286898,18.333333,-64.833333,350,63,302,79.568293,12.3,70.177,41.141,0,0,0,0,0,0,0,0,0,0,,,0,1,2,,0,0,0,0.0,26.755556,25.133333,28.861111,0.381,20.069444,66.622184
VI,2020-02-09,Q11703,country/VIR,VI,United States Virgin Islands,VI,VIR,0,0,0,,0,0,,104423,49601,54822,4444,102187,298.351,12868,14018,12731,9731,11766,14449,14021,10901,3938,3855000000,35938,286898,18.333333,-64.833333,350,63,302,79.568293,12.3,70.177,41.141,0,0,0,0,0,0,0,0,0,0,,,0,1,2,,0,0,0,0.0,26.561111,24.1,29.127778,0.254,20.736111,68.843672
VI,2020-02-10,Q11703,country/VIR,VI,United States Virgin Islands,VI,VIR,0,0,0,,0,0,,104423,49601,54822,4444,102187,298.351,12868,14018,12731,9731,11766,14449,14021,10901,3938,3855000000,35938,286898,18.333333,-64.833333,350,63,302,79.568293,12.3,70.177,41.141,0,0,0,0,0,0,0,0,0,0,,,0,1,2,,0,0,0,0.0,26.783333,24.538889,29.205556,0.127,20.777778,69.034963
VI,2020-02-11,Q11703,country/VIR,VI,United States Virgin Islands,VI,VIR,0,0,0,,0,0,,104423,49601,54822,4444,102187,298.351,12868,14018,12731,9731,11766,14449,14021,10901,3938,3855000000,35938,286898,18.333333,-64.833333,350,63,302,79.568293,12.3,70.177,41.141,0,0,0,0,0,0,0,0,0,0,,,0,1,2,,0,0,0,0.0,26.622222,24.222222,29.161111,0.1016,20.347222,68.008769
