location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_tested,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,population,population_male,population_female,population_rural,population_urban,population_density,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,gdp_usd,gdp_per_capita_usd,openstreetmap_id,latitude,longitude,area_sq_km,area_rural_sq_km,area_urban_sq_km,life_expectancy,diabetes_prevalence,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
KY,2020-02-10,ChIJKaq4Lz6GJY8RXnFwh9PERXA,Q5785,country/CYM,KY,Cayman Islands,KY,CYM,0,0,0,,0,0,,,,,,,,65720,37180,39213,0,64948,273.833,9182,8787,9727,10004,10819,11693,9471,4638,2072,5485419416,85477,2185366,19.5,-80.5,260,64,160,82.19024,6.8,26.811111,23.722222,30.583333,0.2032,21.666667,73.522014
KY,2020-02-11,ChIJKaq4Lz6GJY8RXnFwh9PERXA,Q5785,country/CYM,KY,Cayman Islands,KY,CYM,0,0,0,,0,0,,,,,,,,65720,37180,39213,0,64948,273.833,9182,8787,9727,10004,10819,11693,9471,4638,2072,5485419416,85477,2185366,19.5,-80.5,260,64,160,82.19024,6.8,27.133333,23.566667,30.577778,0.0,22.555556,76.119996
KY,2020-02-12,ChIJKaq4Lz6GJY8RXnFwh9PERXA,Q5785,country/CYM,KY,Cayman Islands,KY,CYM,0,0,0,,0,0,,,,,,,,65720,37180,39213,0,64948,273.833,9182,8787,9727,10004,10819,11693,9471,4638,2072,5485419416,85477,2185366,19.5,-80.5,260,64,160,82.19024,6.8,27.088889,23.266667,30.677778,0.0,22.7,77.064113
KY,2020-02-13,ChIJKaq4Lz6GJY8RXnFwh9PERXA,Q5785,country/CYM,KY,Cayman Islands,KY,CYM,0,0,0,,0,0,,,,,,,,65720,37180,39213,0,64948,273.833,9182,8787,9727,10004,10819,11693,9471,4638,2072,5485419416,85477,2185366,19.5,-80.5,260,64,160,82.19024,6.8,27.055556,23.366667,30.677778,0.9144,22.255556,75.149144
KY,2020-02-14,ChIJKaq4Lz6GJY8RXnFwh9PERXA,Q5785,country/CYM,KY,Cayman Islands,KY,CYM,0,0,0,,0,0,,,,,,,,65720,37180,39213,0,64948,273.833,9182,8787,9727,10004,10819,11693,9471,4638,2072,5485419416,85477,2185366,19.5,-80.5,260,64,160,82.19024,6.8,27.377778,22.922222,31.055556,0.0,22.644444,75.444237
KY,2020-02-15,ChIJKaq4Lz6GJY8RXnFwh9PERXA,Q5785,country/CYM,KY,Cayman Islands,KY,CYM,0,0,0,,0,0,,,,,,,,65720,37180,39213,0,64948,273.833,9182,8787,9727,10004,10819,11693,9471,4638,2072,5485419416,85477,2185366,19.5,-80.5,260,64,160,82.19024,6.8,26.833333,23.622222,30.644444,0.0,21.277778,71.643754
KY,2020-02-16,ChIJKaq4Lz6GJY8RXnFwh9PERXA,Q5785,country/CYM,KY,Cayman Islands,KY,CYM,0,0,0,,0,0,,,,,,,,65720,37180,39213,0,64948,273.833,9182,8787,9727,10004,10819,11693,9471,4638,2072,5485419416,85477,2185366,19.5,-80.5,260,64,160,82.19024,6.8,26.422222,23.2,29.922222,3.81,21.166667,73.02155
KY,2020-02-17,ChIJKaq4Lz6GJY8RXnFwh9PERXA,Q5785,country/CYM,KY,Cayman Islands,KY,CYM,0,0,0,,0,0,,,,,,,,65720,37180,39213,0,64948,273.833,9182,8787,9727,10004,10819,11693,9471,4638,2072,5485419416,85477,2185366,19.5,-80.5,260,64,160,82.19024,6.8,26.533333,22.655556,29.988889,0.254,22.244444,77.369597
KY,2020-02-18,ChIJKaq4Lz6GJY8RXnFwh9PERXA,Q5785,country/CYM,KY,Cayman Islands,KY,CYM,0,0,0,,0,0,,,,,,,,65720,37180,39213,0,64948,273.833,9182,8787,9727,10004,10819,11693,9471,4638,2072,5485419416,85477,2185366,19.5,-80.5,260,64,160,82.19024,6.8,27.733333,23.788889,31.155556,0.0,22.833333,74.928511
KY,2020-02-19,ChIJKaq4Lz6GJY8RXnFwh9PERXA,Q5785,country/CYM,KY,Cayman Islands,KY,CYM,0,0,0,,0,0,,,,,,,,65720,37180,39213,0,64948,273.833,9182,8787,9727,10004,10819,11693,9471,4638,2072,5485419416,85477,2185366,19.5,-80.5,260,64,160,82.19024,6.8,27.333333,24.266667,31.022222,0.0,22.877778,76.746168
